Name
"KAMAL INSTITUTE OF HIGHER EDUCATION & ADVANCE TECHNOLOGY, NEW DELHI - [KIHEAT]"
"KAMLA NEHRU MAHAVIDYALAYA, BHOPAL"
"LADY IRWIN COLLEGE, NEW DELHI"
"LADY SHRI RAM COLLEGE FOR WOMEN, NEW DELHI - [LSR]"
"LORETO COLLEGE, KOLKATA"
"MAHATMA GANDHI UNIVERSITY, KOTTAYAM - [MGU]"
"PUSHPANJALI COLLEGE OF EDUCATION, PALGHAR"
"RANCHI UNIVERSITY, RANCHI"
"RKG EDUCATION COLLEGE, LUCKNOW"
"ST WILFREDS TEACHERA'S TRAINING COLLEGE, JAIPUR"
"THAKUR SHYAMNARAYAN COLLEGE OF EDUCATION AND RESEARCH, MUMBAI"
"UNIVERSITY OF DELHI, NEW DELHI - [DU]"
"UNIVERSITY OF LUCKNOW, LUCKNOW - [LU]"
"ARCH COLLEGE OF DESIGN AND BUSINESS, JAIPUR"
"INDIAN INSTITUTE OF TECHNOLOGY, KANPUR - [IIT]"
"INDUSTRIAL DESIGN CENTRE, INDIAN INSTITUTE OF TECHNOLOGY - [IDC]"
"INTERNATIONAL INSTITUTE OF FASHION DESIGN, MUMBAI - [INIFD]"
"INTERNATIONAL INSTITUTE OF FASHION TECHNOLOGY, CHANDIGARH - [IIFT]"
"JD INSTITUTE OF FASHION TECHNOLOGY, MUMBAI"
"MANIPAL UNIVERSITY, JAIPUR - [MUJ]"
"MIT INSTITUTE OF DESIGN, PUNE - [MITID]"
"NATIONAL INSTITUTE OF DESIGN, AHMEDABAD - [NID]"
"NATIONAL INSTITUTE OF DESIGN, GANDHI NAGAR - [NID]"
"NATIONAL INSTITUTE OF DESIGN, VIJAYAWADA - [NID]"
"NATIONAL INSTITUTE OF DESIGN, BANGALORE - [NID]"
"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, NAVI MUMBAI - [NIFT]"
"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, HYDERABAD - [NIFT]"
"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, KANNUR - [NIFT]"
"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, BANGALORE - [NIFT]"
"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, BHUBANESWAR - [NIFT]"
"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, CHENNAI - [NIFT]"
"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, SRINAGAR - [NIFT]"
"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, SHILLONG - [NIFT]"
"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, GANDHI NAGAR - [NIFT]"
"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, BHOPAL - [NIFT]"
"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, RAE BARELI - [NIFT]"
"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, KANGRA - [NIFT]"
"NATIONAL INSTITUTE OF FASHION TECHNOLOGY, NEW DELHI - [NIFT] HAUZ KHAS"
"PEARL ACADEMY, NEW DELHI"
"PEARL ACADEMY, JAIPUR"
"PEARL ACADEMY, MUMBAI"
"SATYAM FASHION INSTITUTE, NOIDA - [SFI]"
"SRISHTI INSTITUTE OF ART, DESIGN AND TECHNOLOGY"
"SYMBIOSIS INSTITUTE OF DESIGN, PUNE - [SID]"
"HR COLLEGE OF COMMERCE AND ECONOMICS, MUMBAI"
"JESUS AND MARY COLLEGE, NEW DELHI - [JMC]"
"NARSEE MONJEE INSTITUTE OF MANAGEMENT STUDIES, MUMBAI - [NMIMS DEEMED TO BE UNIVERSITY]"
"SYDENHAM INSTITUTE OF MANAGEMENT STUDIES, RESEARCH & ENTREPRENEURSHIP EDUCATION - [SIMSREE]"
"BRIHAN MAHARASHTRA COLLEGE OF COMMERCE, PUNE - [BMCC]"
"GOENKA COLLEGE OF COMMERCE AND BUSINESS ADMINISTRATION, KOLKATA"
"INDRAPRASTHA COLLEGE FOR WOMEN, NEW DELHI - [IP]"
