2018/08/23 23:06:02 [error] 13901#13901: *13803 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/group/1/change/"
2018/08/23 23:06:03 [error] 13901#13901: *13803 open() "/var/www/moodi.org/SystemPanel/static/rest_framework/js/jquery-3.3.1.min.js" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/team/my_team/10442398?event_name=skjfhlsf"
2018/08/23 23:06:41 [error] 13901#13901: *13848 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/"
2018/08/23 23:07:11 [error] 13901#13901: *13864 open() "/var/www/moodi.org/SystemPanel/static/rest_framework/js/jquery-3.3.1.min.js" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/team/my_team/10442398?event=2"
2018/08/23 23:07:14 [error] 13901#13901: *13862 open() "/var/www/moodi.org/SystemPanel/static/rest_framework/js/jquery-3.3.1.min.js" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/team/my_team/10442398?event=1"
2018/08/23 23:08:41 [error] 13901#13901: *13873 open() "/var/www/moodi.org/SystemPanel/static/rest_framework/js/jquery-3.3.1.min.js" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/team/my_team/10442398?event=1"
2018/08/23 23:08:42 [error] 13901#13901: *13873 open() "/var/www/moodi.org/SystemPanel/static/rest_framework/js/jquery-3.3.1.min.js" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/team/my_team/10442398?event=1"
2018/08/23 23:09:46 [error] 13901#13901: *13890 open() "/var/www/moodi.org/SystemPanel/static/rest_framework/js/jquery-3.3.1.min.js" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/team/my_team/10442398?event=1"
2018/08/23 23:09:47 [error] 13901#13901: *13890 open() "/var/www/moodi.org/SystemPanel/static/rest_framework/js/jquery-3.3.1.min.js" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/team/my_team/10442398?event=1"
2018/08/23 23:09:51 [error] 13901#13901: *13890 open() "/var/www/moodi.org/SystemPanel/static/rest_framework/js/jquery-3.3.1.min.js" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/team/my_team/10442398?event=8"
2018/08/23 23:09:56 [error] 13901#13901: *13890 open() "/var/www/moodi.org/SystemPanel/static/rest_framework/js/jquery-3.3.1.min.js" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/team/my_team/104423981?event=1"
2018/08/23 23:09:59 [error] 13901#13901: *13890 open() "/var/www/moodi.org/SystemPanel/static/rest_framework/js/jquery-3.3.1.min.js" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/team/my_team/10442398?event=1"
